ID1	ID2	type	node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score	exists
AT5G26980	AT3G56450	-	SYP41	ASNAP1	138769	131319	3702.AT5G26980.1	3702.AT3G56450.1	0	0	0	0	0	0.93	0	0.622	0.972	0.75
AT4G02195	AT3G56190	-	SYP42	ASNAP2	132321	131294	3702.AT4G02195.1	3702.AT3G56190.1	0	0	0	0	0	0.93	0	0.622	0.972	1
AT3G56190	AT3G05710	-	ASNAP2	SYP43	131294	127162	3702.AT3G56190.1	3702.AT3G05710.2	0	0	0	0	0	0.93	0	0.622	0.972	0.25
AT2G20050	AT1G78300	-	AT2G20050	F3F9.16	123625	122109	3702.AT2G20050.1	3702.AT1G78300.1	0	0	0	0	0	0.928	0	0.625	0.971	0.5
AT3G46620	AT3G44260	-	RDUF1	CAF1a	130271	130024	3702.AT3G46620.1	3702.AT3G44260.1	0	0	0	0	0.936	0	0	0.579	0.971	0.75
AT3G45640	AT2G40180	-	MPK3	PP2C5	130168	125779	3702.AT3G45640.1	3702.AT2G40180.1	0	0	0	0	0	0.847	0	0.816	0.97	1
AT5G54260	AT1G19020	-	MRE11	AT1G19020	141074	117217	3702.AT5G54260.1	3702.AT1G19020.1	0	0	0	0	0.072	0.908	0.63	0.188	0.97	0.25
AT4G11280	AT1G62380	-	ACS6	F24O1.10	133016	120451	3702.AT4G11280.1	3702.AT1G62380.1	0	0	0	0	0	0	0.9	0.721	0.97	0.5
AT5G16830	AT2G33120	-	SYP21	VAMP722	137781	125015	3702.AT5G16830.1	3702.AT2G33120.2	0	0	0	0	0.169	0.746	0	0.867	0.969	0.75
AT3G54300	AT3G11820	-	VAMP727	SYP121	131092	127780	3702.AT3G54300.1	3702.AT3G11820.1	0	0	0	0	0	0.495	0.72	0.8	0.969	1
AT3G08720	AT2G20050	-	S6K2	AT2G20050	127443	123625	3702.AT3G08720.1	3702.AT2G20050.1	0	0	0	0.707	0	0.959	0	0.782	0.968	0.25
AT5G16830	AT5G07880	-	SYP21	SNAP29	137781	136918	3702.AT5G16830.1	3702.AT5G07880.1	0	0	0	0	0	0.865	0	0.773	0.968	0.5
AT5G57220	AT1G18570	-	CYP81F2	MYB51	141393	117172	3702.AT5G57220.1	3702.AT1G18570.1	0	0	0	0	0.825	0	0	0.828	0.968	0.75
AT2G40140	AT2G38470	-	CZF1	WRKY33	125775	125595	3702.AT2G40140.1	3702.AT2G38470.1	0	0	0	0	0.955	0	0	0.295	0.967	1
AT4G29780	AT4G24570	-	AT4G29780	DIC2	135079	134510	3702.AT4G29780.1	3702.AT4G24570.1	0	0	0	0	0.966	0	0	0	0.966	0.25
AT4G02195	AT3G11820	-	SYP42	SYP121	132321	127780	3702.AT4G02195.1	3702.AT3G11820.1	0	0	0	0	0.185	0.71	0	0.869	0.966	0.5
AT3G23610	AT1G71860	-	DSPTP1	PTP1	129098	121444	3702.AT3G23610.3	3702.AT1G71860.1	0	0	0	0	0	0.267	0	0.955	0.965	0.75
AT4G26070	AT1G01560	-	MEK1	MPK11	134674	115365	3702.AT4G26070.2	3702.AT1G01560.2	0	0	0.297	0.651	0.463	0.905	0	0.842	0.965	1
AT3G55270	AT1G71860	-	MKP1	PTP1	131195	121444	3702.AT3G55270.1	3702.AT1G71860.1	0	0	0	0	0	0.267	0	0.954	0.965	0.25
AT5G16830	AT1G04750	-	SYP21	VAMP721	137781	115697	3702.AT5G16830.1	3702.AT1G04750.1	0	0	0	0	0	0.746	0	0.865	0.964	0.5
AT5G51190	AT4G27280	-	AT5G51190	AT4G27280	140739	134800	3702.AT5G51190.1	3702.AT4G27280.1	0	0	0	0	0.961	0	0	0.126	0.964	0.75
AT5G59820	AT1G07890	-	RHL41	APX1	141669	116035	3702.AT5G59820.1	3702.AT1G07890.1	0	0	0	0	0	0	0	0.963	0.963	1
AT3G55980	AT2G40140	-	SZF1	CZF1	131273	125775	3702.AT3G55980.1	3702.AT2G40140.1	0	0	0	0.975	0.963	0	0	0.967	0.963	0.25
AT2G33120	AT1G13890	-	VAMP722	SNAP30	125015	116686	3702.AT2G33120.2	3702.AT1G13890.1	0	0	0	0	0	0.579	0	0.914	0.962	0.5
AT4G12470	AT3G45640	-	AZI1	MPK3	133141	130168	3702.AT4G12470.1	3702.AT3G45640.1	0	0	0	0	0	0.805	0	0.817	0.962	0.75
AT5G54490	AT4G27280	-	F24B18.11	AT4G27280	141097	134800	3702.AT5G54490.1	3702.AT4G27280.1	0	0	0	0.981	0.961	0	0	0.72	0.961	1
AT4G27280	AT3G55980	-	AT4G27280	SZF1	134800	131273	3702.AT4G27280.1	3702.AT3G55980.1	0	0	0	0	0.957	0	0	0.145	0.961	0.25
AT4G02195	AT1G04750	-	SYP42	VAMP721	132321	115697	3702.AT4G02195.1	3702.AT1G04750.1	0	0	0	0	0	0.888	0	0.67	0.961	0.5
AT4G26080	AT4G11280	-	ABI1	ACS6	134675	133016	3702.AT4G26080.1	3702.AT4G11280.1	0	0	0	0	0	0.805	0	0.812	0.961	0.75
AT4G29780	AT1G80840	-	AT4G29780	WRKY40	135079	122366	3702.AT4G29780.1	3702.AT1G80840.1	0	0	0	0	0.961	0	0	0	0.961	1
AT4G29780	AT3G55980	-	AT4G29780	SZF1	135079	131273	3702.AT4G29780.1	3702.AT3G55980.1	0	0	0	0	0.96	0	0	0	0.96	0.25
AT4G23810	AT1G14410	-	WRKY53	WHY1	134426	116742	3702.AT4G23810.1	3702.AT1G14410.1	0	0	0	0	0	0.79	0	0.818	0.96	0.5
AT1G13890	AT1G04750	-	SNAP30	VAMP721	116686	115697	3702.AT1G13890.1	3702.AT1G04750.1	0	0	0	0	0	0.579	0	0.909	0.96	0.75
AT4G01370	AT1G07160	-	MPK4	AT1G07160	132226	115953	3702.AT4G01370.1	3702.AT1G07160.1	0	0	0	0	0	0.305	0	0.945	0.96	1
AT4G29780	AT2G30020	-	AT4G29780	AT2G30020	135079	124675	3702.AT4G29780.1	3702.AT2G30020.1	0	0	0	0	0.959	0	0	0	0.959	0.25
AT3G52400	AT1G13890	-	SYP122	SNAP30	130890	116686	3702.AT3G52400.1	3702.AT1G13890.1	0	0	0	0	0	0.811	0	0.795	0.959	0.5
AT4G27280	AT4G11280	-	AT4G27280	ACS6	134800	133016	3702.AT4G27280.1	3702.AT4G11280.1	0	0	0	0	0.959	0	0	0	0.959	0.75
AT4G24570	AT1G80840	-	DIC2	WRKY40	134510	122366	3702.AT4G24570.1	3702.AT1G80840.1	0	0	0	0	0.959	0	0	0	0.959	1
AT1G43670	AT1G07890	-	FBP	APX1	118929	116035	3702.AT1G43670.1	3702.AT1G07890.1	0	0	0	0	0	0	0	0.959	0.959	0.25
AT5G59820	AT1G80840	-	RHL41	WRKY40	141669	122366	3702.AT5G59820.1	3702.AT1G80840.1	0	0	0	0	0.906	0	0	0.59	0.959	0.5
AT4G08500	AT1G51660	-	MEKK1	MKK4	132730	119496	3702.AT4G08500.1	3702.AT1G51660.1	0	0	0	0.753	0.131	0.434	0.901	0.908	0.959	0.75
AT3G45640	AT1G27730	-	MPK3	STZ	130168	118057	3702.AT3G45640.1	3702.AT1G27730.1	0	0	0	0	0.653	0.84	0	0.309	0.958	1
AT4G29780	AT3G46620	-	AT4G29780	RDUF1	135079	130271	3702.AT4G29780.1	3702.AT3G46620.1	0	0	0	0	0.958	0	0	0	0.958	0.25
AT4G34390	AT3G08720	-	XLG2	S6K2	135584	127443	3702.AT4G34390.1	3702.AT3G08720.1	0	0	0	0	0.83	0.758	0	0.078	0.958	0.5
AT3G45640	AT1G01560	-	MPK3	MPK11	130168	115365	3702.AT3G45640.1	3702.AT1G01560.2	0	0	0.527	0.974	0.593	0	0.9	0.76	0.958	0.75
AT3G52400	AT2G33120	-	SYP122	VAMP722	130890	125015	3702.AT3G52400.1	3702.AT2G33120.2	0	0	0	0	0	0.495	0	0.92	0.958	1
AT2G40140	AT1G27730	-	CZF1	STZ	125775	118057	3702.AT2G40140.1	3702.AT1G27730.1	0	0	0	0	0.944	0	0	0.293	0.958	0.25
AT2G38470	AT1G27730	-	WRKY33	STZ	125595	118057	3702.AT2G38470.1	3702.AT1G27730.1	0	0	0	0	0.942	0	0	0.315	0.958	0.5
AT2G40140	AT1G80840	-	CZF1	WRKY40	125775	122366	3702.AT2G40140.1	3702.AT1G80840.1	0	0	0	0	0.957	0	0	0	0.957	0.75
AT4G29810	AT2G20050	-	MKK2	AT2G20050	135082	123625	3702.AT4G29810.2	3702.AT2G20050.1	0	0	0	0.627	0	0.944	0	0.647	0.957	1
AT3G21220	AT2G20050	-	MKK5	AT2G20050	128831	123625	3702.AT3G21220.1	3702.AT2G20050.1	0	0	0	0.632	0	0.944	0	0.647	0.957	0.25
AT5G26980	AT3G11820	-	SYP41	SYP121	138769	127780	3702.AT5G26980.1	3702.AT3G11820.1	0	0	0	0	0	0.71	0	0.86	0.957	0.5
AT2G20050	AT1G51660	-	AT2G20050	MKK4	123625	119496	3702.AT2G20050.1	3702.AT1G51660.1	0	0	0	0.628	0	0.944	0	0.647	0.957	0.75
AT3G11820	AT1G07000	-	SYP121	EXO70B2	127780	115936	3702.AT3G11820.1	3702.AT1G07000.1	0	0	0	0	0.934	0.113	0	0.337	0.957	1
AT5G61600	AT2G38470	-	ERF104	WRKY33	141857	125595	3702.AT5G61600.1	3702.AT2G38470.1	0	0	0	0	0.833	0	0	0.753	0.956	0.25
AT5G44420	AT4G01370	-	PDF1.2	MPK4	139994	132226	3702.AT5G44420.1	3702.AT4G01370.1	0	0	0	0	0	0	0	0.956	0.956	0.5
AT5G61600	AT4G27280	-	ERF104	AT4G27280	141857	134800	3702.AT5G61600.1	3702.AT4G27280.1	0	0	0	0	0.954	0	0	0.097	0.956	0.75
AT4G34410	AT4G29780	-	RRTF1	AT4G29780	135586	135079	3702.AT4G34410.1	3702.AT4G29780.1	0	0	0	0	0.956	0	0	0	0.956	1
AT5G24590	AT3G49530	-	TIP	NAC062	138540	130574	3702.AT5G24590.2	3702.AT3G49530.1	0	0	0	0.963	0.956	0	0	0.116	0.956	0.25
AT4G27280	AT1G27730	-	AT4G27280	STZ	134800	118057	3702.AT4G27280.1	3702.AT1G27730.1	0	0	0	0	0.945	0.105	0	0.182	0.956	0.5
AT5G58060	AT3G54300	-	YKT61	VAMP727	141487	131092	3702.AT5G58060.2	3702.AT3G54300.1	0	0	0	0	0.156	0.824	0	0.733	0.956	0.75
AT3G44260	AT1G27730	-	CAF1a	STZ	130024	118057	3702.AT3G44260.1	3702.AT1G27730.1	0	0	0	0	0.938	0	0	0.319	0.955	1
AT5G58060	AT1G11890	-	YKT61	SEC22	141487	116472	3702.AT5G58060.2	3702.AT1G11890.1	0	0	0	0.66	0	0.943	0	0.647	0.955	0.25
AT5G25930	AT2G20050	-	AT5G25930	AT2G20050	138673	123625	3702.AT5G25930.1	3702.AT2G20050.1	0	0	0	0	0	0.883	0	0.638	0.955	0.5
AT5G59820	AT1G27730	-	RHL41	STZ	141669	118057	3702.AT5G59820.1	3702.AT1G27730.1	0	0	0	0.763	0.943	0	0	0.904	0.955	0.75
AT3G26560	AT1G18570	-	AT3G26560	MYB51	129420	117172	3702.AT3G26560.1	3702.AT1G18570.1	0	0	0	0	0.099	0.896	0	0.554	0.954	1
AT4G08500	AT3G21220	-	MEKK1	MKK5	132730	128831	3702.AT4G08500.1	3702.AT3G21220.1	0	0	0	0.758	0	0.434	0.901	0.909	0.954	0.25
AT5G27420	AT2G38470	-	CNI1	WRKY33	138811	125595	3702.AT5G27420.1	3702.AT2G38470.1	0	0	0	0	0.938	0	0	0.291	0.954	0.5
AT5G67300	AT3G26560	-	MYBR1	AT3G26560	142474	129420	3702.AT5G67300.1	3702.AT3G26560.1	0	0	0	0	0.099	0.896	0	0.554	0.954	0.75
AT5G51190	AT3G55980	-	AT5G51190	SZF1	140739	131273	3702.AT5G51190.1	3702.AT3G55980.1	0	0	0	0	0.953	0	0	0	0.953	1
AT4G33050	AT4G14365	-	EDA39	XBAT34	135437	133363	3702.AT4G33050.2	3702.AT4G14365.1	0	0	0	0	0.953	0	0	0	0.953	0.25
AT1G71860	AT1G59580	-	PTP1	MPK2	121444	120159	3702.AT1G71860.1	3702.AT1G59580.1	0	0	0	0	0	0.824	0	0.749	0.953	0.5
AT4G19710	AT4G11280	-	AKHSDH2	ACS6	133986	133016	3702.AT4G19710.2	3702.AT4G11280.1	0.42	0	0	0	0	0	0.813	0.599	0.952	0.75
AT4G11280	AT1G31230	-	ACS6	AKHSDH1	133016	118396	3702.AT4G11280.1	3702.AT1G31230.1	0.42	0	0	0	0	0	0.813	0.599	0.952	1
AT5G56580	AT4G08500	-	MKK6	MEKK1	141324	132730	3702.AT5G56580.1	3702.AT4G08500.1	0	0	0	0.706	0	0.434	0.901	0.639	0.952	0.25
AT5G59820	AT5G10695	-	RHL41	AT5G10695	141669	137183	3702.AT5G59820.1	3702.AT5G10695.1	0	0	0	0	0.934	0	0	0.292	0.951	0.5
AT3G56190	AT3G54300	-	ASNAP2	VAMP727	131294	131092	3702.AT3G56190.1	3702.AT3G54300.1	0	0	0	0	0.233	0.836	0	0.645	0.951	0.75
AT5G25930	AT1G01560	-	AT5G25930	MPK11	138673	115365	3702.AT5G25930.1	3702.AT1G01560.2	0	0	0	0.638	0.824	0.671	0	0.581	0.951	1
AT4G29810	AT1G01560	-	MKK2	MPK11	135082	115365	3702.AT4G29810.2	3702.AT1G01560.2	0	0	0.328	0.673	0.225	0.905	0	0.887	0.95	0.25
AT5G61210	AT3G54300	-	SNAP33	VAMP727	141815	131092	3702.AT5G61210.1	3702.AT3G54300.1	0	0	0	0	0.128	0.579	0	0.875	0.95	0.5
AT1G80840	AT1G76650	-	WRKY40	CML38	122366	121933	3702.AT1G80840.1	3702.AT1G76650.1	0	0	0	0	0.934	0	0	0.263	0.95	0.75
AT5G51190	AT1G27730	-	AT5G51190	STZ	140739	118057	3702.AT5G51190.1	3702.AT1G27730.1	0	0	0	0	0.938	0	0	0.242	0.95	1
AT1G71860	AT1G51660	-	PTP1	MKK4	121444	119496	3702.AT1G71860.1	3702.AT1G51660.1	0	0	0	0	0	0.826	0	0.728	0.95	0.25
AT2G38470	AT1G18570	-	WRKY33	MYB51	125595	117172	3702.AT2G38470.1	3702.AT1G18570.1	0	0	0	0	0.9	0	0	0.528	0.95	0.5
AT1G80840	AT1G28370	-	WRKY40	ERF11	122366	118126	3702.AT1G80840.1	3702.AT1G28370.1	0	0	0	0	0.947	0	0	0.082	0.949	0.75
AT4G11280	AT2G43790	-	ACS6	MPK6	133016	126169	3702.AT4G11280.1	3702.AT2G43790.1	0	0	0	0	0	0	0	0.949	0.949	1
AT5G57220	AT3G26830	-	CYP81F2	PAD3	141393	129453	3702.AT5G57220.1	3702.AT3G26830.1	0	0	0.526	0.799	0.363	0	0.9	0.764	0.949	0.25
AT2G26530	AT1G27730	-	AR781	STZ	124313	118057	3702.AT2G26530.1	3702.AT1G27730.1	0	0	0	0	0.936	0	0	0.241	0.949	0.5
AT3G11820	AT3G05710	-	SYP121	SYP43	127780	127162	3702.AT3G11820.1	3702.AT3G05710.2	0	0	0	0	0	0.71	0	0.831	0.948	0.75
AT5G54490	AT5G42380	-	F24B18.11	CML37	141097	139758	3702.AT5G54490.1	3702.AT5G42380.1	0	0	0	0	0.637	0.21	0	0.835	0.948	1
AT4G34390	AT1G01560	-	XLG2	MPK11	135584	115365	3702.AT4G34390.1	3702.AT1G01560.2	0	0	0	0	0.845	0.267	0	0.585	0.948	0.25
AT5G61600	AT5G51190	-	ERF104	AT5G51190	141857	140739	3702.AT5G61600.1	3702.AT5G51190.1	0	0	0	0.919	0.946	0	0	0.542	0.948	0.5
AT5G52760	AT4G14365	-	AT5G52760	XBAT34	140903	133363	3702.AT5G52760.1	3702.AT4G14365.1	0	0	0	0	0.948	0	0	0	0.948	0.75
AT3G56190	AT3G11820	-	ASNAP2	SYP121	131294	127780	3702.AT3G56190.1	3702.AT3G11820.1	0	0	0	0	0	0.853	0	0.665	0.948	1
AT5G59820	AT3G61190	-	RHL41	BAP1	141669	131808	3702.AT5G59820.1	3702.AT3G61190.1	0	0	0	0	0.931	0	0	0.268	0.947	0.25
AT5G16830	AT1G13890	-	SYP21	SNAP30	137781	116686	3702.AT5G16830.1	3702.AT1G13890.1	0	0	0	0	0	0.865	0	0.628	0.947	0.5
AT5G22250	AT1G27730	-	CAF1b	STZ	138284	118057	3702.AT5G22250.1	3702.AT1G27730.1	0	0	0	0	0.936	0	0	0.213	0.947	0.75
AT4G29780	AT3G02840	-	AT4G29780	AT3G02840	135079	126839	3702.AT4G29780.1	3702.AT3G02840.1	0	0	0	0	0.904	0	0	0.48	0.947	1
AT4G18880	AT2G43790	-	HSFA4A	MPK6	133896	126169	3702.AT4G18880.1	3702.AT2G43790.1	0	0	0	0	0	0.102	0	0.943	0.947	0.25
AT4G12120	AT3G52400	-	SEC1B	SYP122	133107	130890	3702.AT4G12120.1	3702.AT3G52400.1	0	0	0	0	0.148	0.816	0	0.684	0.946	0.5
AT4G04910	AT3G52400	-	NSF	SYP122	132566	130890	3702.AT4G04910.1	3702.AT3G52400.1	0	0	0	0	0	0.857	0	0.641	0.946	0.75
AT5G59550	AT3G46620	-	RDUF2	RDUF1	141643	130271	3702.AT5G59550.1	3702.AT3G46620.1	0	0	0	0.969	0.945	0	0	0.978	0.946	1
AT5G61600	AT1G27730	-	ERF104	STZ	141857	118057	3702.AT5G61600.1	3702.AT1G27730.1	0	0	0	0	0.939	0	0	0.16	0.946	0.25
AT4G04910	AT3G11820	-	NSF	SYP121	132566	127780	3702.AT4G04910.1	3702.AT3G11820.1	0	0	0	0	0	0.857	0	0.641	0.946	0.5
AT3G52400	AT1G12360	-	SYP122	KEU	130890	116525	3702.AT3G52400.1	3702.AT1G12360.1	0	0	0	0	0	0.816	0	0.722	0.946	0.75
AT5G04340	AT1G27730	-	ZAT6	STZ	136550	118057	3702.AT5G04340.1	3702.AT1G27730.1	0	0	0	0.969	0.945	0	0	0.72	0.946	1
AT5G01310	AT1G48050	-	APTX	KU80	136226	119134	3702.AT5G01310.1	3702.AT1G48050.1	0	0	0	0	0.068	0.089	0.932	0.18	0.946	0.25
AT4G24570	AT3G44260	-	DIC2	CAF1a	134510	130024	3702.AT4G24570.1	3702.AT3G44260.1	0	0	0	0	0.946	0	0	0	0.946	0.5
AT1G73500	AT1G71860	-	MKK9	PTP1	121614	121444	3702.AT1G73500.1	3702.AT1G71860.1	0	0	0	0	0	0.826	0	0.7	0.945	0.75
AT5G10695	AT3G10930	-	AT5G10695	AT3G10930	137183	127684	3702.AT5G10695.1	3702.AT3G10930.1	0	0	0	0	0.604	0	0	0.867	0.945	1
AT3G56450	AT3G11820	-	ASNAP1	SYP121	131319	127780	3702.AT3G56450.1	3702.AT3G11820.1	0	0	0	0	0	0.853	0	0.642	0.945	0.25
AT4G24570	AT3G55980	-	DIC2	SZF1	134510	131273	3702.AT4G24570.1	3702.AT3G55980.1	0	0	0	0	0.945	0	0	0	0.945	0.5
AT3G56450	AT3G52400	-	ASNAP1	SYP122	131319	130890	3702.AT3G56450.1	3702.AT3G52400.1	0	0	0	0	0	0.853	0	0.642	0.945	0.75
AT4G12120	AT3G11820	-	SEC1B	SYP121	133107	127780	3702.AT4G12120.1	3702.AT3G11820.1	0	0	0	0	0.143	0.816	0	0.682	0.945	1
AT3G55980	AT1G80840	-	SZF1	WRKY40	131273	122366	3702.AT3G55980.1	3702.AT1G80840.1	0	0	0	0	0.945	0	0	0	0.945	0.25
AT5G52750	AT4G14365	-	AT5G52750	XBAT34	140902	133363	3702.AT5G52750.1	3702.AT4G14365.1	0	0	0	0	0.945	0	0	0	0.945	0.5
AT3G56190	AT3G52400	-	ASNAP2	SYP122	131294	130890	3702.AT3G56190.1	3702.AT3G52400.1	0	0	0	0	0	0.853	0	0.642	0.945	0.75
AT4G17490	AT3G45640	-	ERF6	MPK3	133735	130168	3702.AT4G17490.1	3702.AT3G45640.1	0	0	0	0	0.625	0.805	0	0.317	0.945	1
AT3G55980	AT2G38470	-	SZF1	WRKY33	131273	125595	3702.AT3G55980.1	3702.AT2G38470.1	0	0	0	0	0.94	0	0	0.1	0.944	0.25
AT4G29810	AT1G71860	-	MKK2	PTP1	135082	121444	3702.AT4G29810.2	3702.AT1G71860.1	0	0	0	0	0	0.826	0	0.691	0.944	0.5
AT4G18880	AT1G01560	-	HSFA4A	MPK11	133896	115365	3702.AT4G18880.1	3702.AT1G01560.2	0	0	0	0	0.8	0.102	0	0.714	0.944	0.75
AT1G76600	AT1G32920	-	AT1G76600	AT1G32920	121928	118562	3702.AT1G76600.1	3702.AT1G32920.1	0	0	0	0	0.944	0	0	0	0.944	1
AT3G45640	AT3G21220	-	MPK3	MKK5	130168	128831	3702.AT3G45640.1	3702.AT3G21220.1	0	0	0.436	0.693	0	0.568	0.8	0.966	0.944	0.25
AT4G24570	AT3G46620	-	DIC2	RDUF1	134510	130271	3702.AT4G24570.1	3702.AT3G46620.1	0	0	0	0	0.944	0	0	0	0.944	0.5
AT1G57630	AT1G19020	-	AT1G57630	AT1G19020	120053	117217	3702.AT1G57630.1	3702.AT1G19020.1	0	0	0	0	0.599	0	0	0.867	0.944	0.75
AT5G51190	AT4G24570	-	AT5G51190	DIC2	140739	134510	3702.AT5G51190.1	3702.AT4G24570.1	0	0	0	0	0.944	0	0	0	0.944	1
AT5G27420	AT4G18880	-	CNI1	HSFA4A	138811	133896	3702.AT5G27420.1	3702.AT4G18880.1	0	0	0	0	0.925	0	0	0.296	0.944	0.25
AT4G11280	AT1G80840	-	ACS6	WRKY40	133016	122366	3702.AT4G11280.1	3702.AT1G80840.1	0	0	0	0	0.935	0	0	0.162	0.943	0.5
AT5G52760	AT5G52750	-	AT5G52760	AT5G52750	140903	140902	3702.AT5G52760.1	3702.AT5G52750.1	0	0	0	0.958	0.943	0	0	0	0.943	0.75
AT4G11280	AT3G55980	-	ACS6	SZF1	133016	131273	3702.AT4G11280.1	3702.AT3G55980.1	0	0	0	0	0.943	0	0	0	0.943	1
AT4G27280	AT1G32920	-	AT4G27280	AT1G32920	134800	118562	3702.AT4G27280.1	3702.AT1G32920.1	0	0	0	0	0.943	0	0	0	0.943	0.25
AT5G51190	AT3G44260	-	AT5G51190	CAF1a	140739	130024	3702.AT5G51190.1	3702.AT3G44260.1	0	0	0	0	0.939	0	0	0.111	0.943	0.5
AT5G06320	AT2G23810	-	NHL3	TET8	136757	124027	3702.AT5G06320.1	3702.AT2G23810.1	0	0	0	0	0.943	0	0	0	0.943	0.75
AT5G59550	AT4G29780	-	RDUF2	AT4G29780	141643	135079	3702.AT5G59550.1	3702.AT4G29780.1	0	0	0	0	0.943	0	0	0	0.943	1
AT4G29780	AT3G44260	-	AT4G29780	CAF1a	135079	130024	3702.AT4G29780.1	3702.AT3G44260.1	0	0	0	0	0.943	0	0	0	0.943	0.25
AT3G54300	AT1G11890	-	VAMP727	SEC22	131092	116472	3702.AT3G54300.1	3702.AT1G11890.1	0	0	0	0	0.149	0.836	0	0.629	0.943	0.5
AT3G46620	AT2G30020	-	RDUF1	AT2G30020	130271	124675	3702.AT3G46620.1	3702.AT2G30020.1	0	0	0	0	0.94	0	0	0.084	0.943	0.75
AT4G11280	AT1G27730	-	ACS6	STZ	133016	118057	3702.AT4G11280.1	3702.AT1G27730.1	0	0	0	0	0.935	0	0	0.161	0.943	1
AT5G13190	AT4G12720	-	GILP	NUDT7	137405	133166	3702.AT5G13190.1	3702.AT4G12720.4	0	0	0	0	0.942	0	0	0.063	0.943	0.25
AT3G55270	AT3G45640	-	MKP1	MPK3	131195	130168	3702.AT3G55270.1	3702.AT3G45640.1	0	0	0	0	0	0.565	0	0.875	0.943	0.5
AT3G52400	AT3G11820	-	SYP122	SYP121	130890	127780	3702.AT3G52400.1	3702.AT3G11820.1	0	0	0	0.96	0.935	0.117	0	0.959	0.942	0.75
AT2G46070	AT1G71860	-	MPK12	PTP1	126407	121444	3702.AT2G46070.1	3702.AT1G71860.1	0	0	0	0	0	0.824	0	0.687	0.942	1
AT4G11280	AT2G19590	-	ACS6	ATACO1	133016	123579	3702.AT4G11280.1	3702.AT2G19590.1	0	0	0	0	0	0	0.9	0.45	0.942	0.25
AT5G19530	AT4G38800	-	ACL5	MTN1	138075	136050	3702.AT5G19530.1	3702.AT4G38800.1	0	0	0	0	0	0	0.9	0.45	0.942	0.5
AT3G55980	AT1G27730	-	SZF1	STZ	131273	118057	3702.AT3G55980.1	3702.AT1G27730.1	0	0	0	0	0.941	0	0	0.061	0.942	0.75
AT4G29780	AT1G27730	-	AT4G29780	STZ	135079	118057	3702.AT4G29780.1	3702.AT1G27730.1	0	0	0	0	0.942	0	0	0	0.942	1
AT3G52400	AT2G40140	-	SYP122	CZF1	130890	125775	3702.AT3G52400.1	3702.AT2G40140.1	0	0	0	0	0.933	0	0	0.176	0.942	0.25
AT3G61190	AT1G80840	-	BAP1	WRKY40	131808	122366	3702.AT3G61190.1	3702.AT1G80840.1	0	0	0	0	0.917	0	0	0.332	0.942	0.5
AT1G48050	AT1G19020	-	KU80	AT1G19020	119134	117217	3702.AT1G48050.1	3702.AT1G19020.1	0	0	0	0	0	0.652	0.63	0.584	0.941	0.75
AT4G29810	AT3G59790	-	MKK2	MPK10	135082	131658	3702.AT4G29810.2	3702.AT3G59790.1	0	0	0.407	0.677	0	0.905	0	0.925	0.941	1
AT4G24570	AT1G27730	-	DIC2	STZ	134510	118057	3702.AT4G24570.1	3702.AT1G27730.1	0	0	0	0	0.941	0	0	0	0.941	0.25
AT5G26980	AT3G54300	-	SYP41	VAMP727	138769	131092	3702.AT5G26980.1	3702.AT3G54300.1	0	0	0	0	0	0.397	0	0.906	0.941	0.5
AT1G32920	AT1G27730	-	AT1G32920	STZ	118562	118057	3702.AT1G32920.1	3702.AT1G27730.1	0	0	0	0	0.935	0	0	0.133	0.941	0.75
AT1G76650	AT1G32920	-	CML38	AT1G32920	121933	118562	3702.AT1G76650.1	3702.AT1G32920.1	0	0	0	0	0.798	0	0	0.721	0.941	1
AT4G29810	AT4G11330	-	MKK2	MPK5	135082	133021	3702.AT4G29810.2	3702.AT4G11330.1	0	0	0.422	0.675	0	0.904	0	0.901	0.941	0.25
AT4G29810	AT1G07880	-	MKK2	ATMPK13	135082	116033	3702.AT4G29810.2	3702.AT1G07880.2	0	0	0.396	0.665	0	0.905	0	0.897	0.941	0.5
AT3G56450	AT1G04750	-	ASNAP1	VAMP721	131319	115697	3702.AT3G56450.1	3702.AT1G04750.1	0	0	0	0	0.064	0.836	0	0.645	0.94	0.75
AT3G56450	AT2G33120	-	ASNAP1	VAMP722	131319	125015	3702.AT3G56450.1	3702.AT2G33120.2	0	0	0	0	0.064	0.836	0	0.645	0.94	1
AT3G59790	AT1G73500	-	MPK10	MKK9	131658	121614	3702.AT3G59790.1	3702.AT1G73500.1	0	0	0.476	0.699	0	0.905	0	0.898	0.94	0.25
AT4G27280	AT3G46620	-	AT4G27280	RDUF1	134800	130271	3702.AT4G27280.1	3702.AT3G46620.1	0	0	0	0	0.938	0.065	0	0	0.94	0.5
AT3G56190	AT1G04750	-	ASNAP2	VAMP721	131294	115697	3702.AT3G56190.1	3702.AT1G04750.1	0	0	0	0	0.064	0.836	0	0.645	0.94	0.75
AT5G22250	AT1G80840	-	CAF1b	WRKY40	138284	122366	3702.AT5G22250.1	3702.AT1G80840.1	0	0	0	0	0.94	0	0	0	0.94	1
